T_Außen;Q_Solar;Q_intern;Q_Transmission;Q_Lüftung;Q_Heizen/Kühlen;Raumtemperatur;Raumtemperatur;Te_gl.Mittel;Q_el_need;Q_el_prod;Q_storage;Q_selfuse;Q_feed-in;Q_from-grid;CO2-Konzentration;Raumfeuchte;Nutzung;Monat;Tag im Monat;Stunde am Tag;Tag im Jahr;Stunde im Jahr;I_glob
20;-1,98;0,46;3,23;0,41;0;17,73;17,73;17,55;0;0;0;0;0;0;399,98;63,16;1;1;1;1;1;1;0
20;-1,98;0,46;3,18;0,41;0;17,76;17,76;17,55;0;0;0;0;0;0;399,98;63,04;1;1;1;2;1;2;0
20;-1,98;0,46;3,13;0,4;0;17,79;17,79;17,55;0;0;0;0;0;0;399,98;62,92;1;1;1;3;1;3;0
20;-1,98;0,46;3,09;0,4;0;17,82;17,82;17,55;0;0;0;0;0;0;399,98;62,8;1;1;1;4;1;4;0
20;-1,98;0,46;3,05;0,39;0;17,85;17,85;17,55;0;0;0;0;0;0;399,98;62,69;1;1;1;5;1;5;0
20;-1,98;0,46;3;0,38;0;17,88;17,88;17,55;0,03;0;0;0;0;0,03;399,98;62,58;1;1;1;6;1;6;0
20;-1,98;0,46;2,96;0,38;0;17,91;17,91;17,55;0,03;0;0;0;0;0,03;399,98;62,47;1;1;1;7;1;7;0
20;-1,98;0,46;2,92;0,37;0;17,94;17,94;17,55;0,03;0;0;0;0;0,03;399,98;62,36;1;1;1;8;1;8;0
20;-1,98;0,46;2,88;0,37;0;17,97;17,97;17,55;0;0;0;0;0;0;399,98;62,26;1;1;1;9;1;9;0
20;-1,98;0,46;2,85;0,36;0;17,99;17,99;17,55;0;0;0;0;0;0;399,98;62,16;1;1;1;10;1;10;0
20;-1,98;0,46;2,81;0,36;0;18,02;18,02;17,55;0;0;0;0;0;0;399,98;62,06;1;1;1;11;1;11;0
20;-1,98;0,46;2,77;0,35;0;18,05;18,05;17,55;0;0;0;0;0;0;399,98;61,97;1;1;1;12;1;12;0
20;-1,98;0,46;2,74;0,35;0;18,07;18,07;17,55;0,03;0;0;0;0;0,03;399,98;61,88;1;1;1;13;1;13;0
20;-1,98;0,46;2,7;0,35;0;18,1;18,1;17,55;0;0;0;0;0;0;399,98;61,79;1;1;1;14;1;14;0
20;-1,98;0,46;2,67;0,34;0;18,12;18,12;17,55;0;0;0;0;0;0;399,98;61,7;1;1;1;15;1;15;0
20;-1,98;0,46;2,63;0,34;0;18,14;18,14;17,55;0;0;0;0;0;0;399,98;61,62;1;1;1;16;1;16;0
20;-1,98;0,46;2,6;0,33;0;18,17;18,17;17,55;0;0;0;0;0;0;399,98;61,53;1;1;1;17;1;17;0
20;-1,98;0,46;2,57;0,33;0;18,19;18,19;17,55;0,03;0;0;0;0;0,03;399,98;61,45;1;1;1;18;1;18;0
20;-1,98;0,46;2,54;0,33;0;18,21;18,21;17,55;0,03;0;0;0;0;0,03;399,98;61,37;1;1;1;19;1;19;0
20;-1,98;0,46;2,51;0,32;0;18,23;18,23;17,55;0;0;0;0;0;0;399,98;61,3;1;1;1;20;1;20;0
20;-1,98;0,46;2,48;0,32;0;18,25;18,25;17,55;0;0;0;0;0;0;399,98;61,22;1;1;1;21;1;21;0
20;-1,98;0,46;2,45;0,31;0;18,27;18,27;17,55;0;0;0;0;0;0;399,98;61,15;1;1;1;22;1;22;0
20;-1,98;0,46;2,42;0,31;0;18,29;18,29;17,55;0;0;0;0;0;0;399,98;61,08;1;1;1;23;1;23;0
20;-1,98;0,46;2,4;0,31;0;18,31;18,31;17,55;0;0;0;0;0;0;399,98;61,01;1;1;1;24;1;24;0
